designationName	Level	Status
Chairman GRMB	Level15	Active
General Manager	Level10	Active
OSD	Level13	Active
Financial Advisor	Level13	Active
Chief (Design)	Level14	Active
COMMISSIONER	Level14	Active
Senior Engineer Grade-II	Level4	Active
Regional Director	Level12	Active
Research Fellow	Level8	Active
Chief Vigilance Officer (CVO)	Level14	Active
DEPUTY CHIEF ENGINEER	Level13	Active
CIVIL ENGINEER	Level5	Active
Junior Telecom Office	Level7	Active
Design Engineer	Level6	Active
Management Trainee	Level7	Active
Scientist	Level10	Active
JUNIOR COMPUTER OPERATOR	Level1	Active
DRIVER	Level1	Active
DRAWING & DISBURSING OFFICER	Level3	Active
DEPUTY SECRETARY	Level11	Active
SWEEPER	Level1	Active
YOUNG PROFESSIONAL	Level2	Active
WASH BOY	Level1	Active
STAFF CAR DRIVER	Level2	Active
CARPENTER	Level2	Active
BEARER	Level2	Active
SENIOR COMPUTER OPERATOR	Level3	Active
CONSULTANT	Level2	Active
CIVILIAN MOTOR DRIVER GRADE I	Level2	Active
PLATE MAKER	Level1	Active
OFFSET MACHINE OPERATOR	Level2	Active
STAFF CAR DRIVER GRADE I	Level2	Active
SENIOR STATISTICAL OFFICER	Level7	Active
SENIOR AUDIT OFFICER	Level10	Active
SENIOR ACCOUNTANT	Level8	Active
JUNIOR TRANSLATION OFFICER	Level6	Active
DRAFTSMAN	Level5	Active
DATA ENTRY OPERATOR GRADE-D	Level6	Active
CHIEF DRAUGHTSMAN	Level7	Active
ACCOUNTANT	Level6	Active
Executive Magistrate	Level17	Active
ASSISTANT SECRETARY	Level8	Active
TRAINEE OFFICER	Level5	Active
Lecturer	Level5	Active
DESIGN ASSISTANT	Level12	Active
SCIENTIFIC OFFICER	Level9	Active
ASSISTANT  COMMISSIONER	Level10	Active
DEPUTY MANAGER	Level11	Active
Deputy Commissioner	Level11	Active
CEO	Level18	Active
Additional Chief Executive Officer	Level14	Active
SENIOR JOINT COMMISSIONER	Level13	Active
Joint General Manager	Level5	Active
JUNIOR HINDI TRANSLATOR	Level6	Active
SENIOR HINDI TRANSLATOR	Level6	Active
CANTEEN ATTENDANT	Level3	Active
CLERK	Level3	Active
ASSISTANT LIBRARY AND INFORMATION OFFICER	Level7	Active
SENIOR ACCOUNTS OFFICER	Level11	Active
SENIOR PRINCIPAL PRIVATE SECRETARY	Level12	Active
OBSERVER GRADE-II	Level3	Active
Director	Level13	Active
ASSISTANT ENGINEER	Level7	Active
CAMERAMAN(MICROFILMING)	Level4	Active
Joint Secretary	Level12	Active
STAFF CAR DRIVER GRADE II	Level4	Active
ELECTRICIAN GRADE-I	Level2	Active
TECHNICAL ASSISTANT (COMUNICATION)	Level4	Active
CHIEF CAMERAMAN	Level6	Active
CONSULTANT(CWMA/CWC)	Level11	Active
MEMBER SECRETARY	Level3	Active
ADVISER	Level13	Active
PROJECT MANAGER (I)	Level1	Active
SENIOR LIBRARY & INFORMATION ASSISTANT	Level6	Active
JUNIOR TRANSLATOR	Level6	Active
STAFF CAR DRIVER SPECIAL GRADE	Level6	Active
MECHANIC GRADE II	Level2	Active
SENIOR EXECUTIVE HELPDESK	Level1	Active
PRINCIPAL STAFF OFFICER	Level7	Active
SECRETARY	Level13	Active
MEMBER	Level15	Active
OBSREVER GRADE I	Level2	Active
STENOGRAPHER GRADE-D	Level4	Active
ASSISTANT DIRECTOR COMMUNICATION	Level10	Active
MOTOR VEHICLE DRIVER GRADE I	Level1	Active
CHAIRMAN	Level17	Active
SENIOR SECRETARIAT ASSISTANT	Level4	Active
JUNIOR SECRETARIAT ASSISTANT	Level2	Active
MOTOR VEHICLE DRIVER GRADE II	Level1	Active
ASSISTANT EXECUTIVE ENGINEER(ADHOC)	Level10	Active
JOINT DIRECTOR	Level12	Active
UNDER SECRETARY	Level11	Active
SCIENTIFIC ASSISTANT	Level6	Active
ACCOUNTS OFFICER	Level11	Active
RESEARCH OFFICER	Level10	Active
ASSISTANT DIRECTOR(HM)	Level10	Active
WORKS SARKAR GRADE -II	Level2	Active
STORE KEEPER	Level4	Active
PERSONAL ASSISTANT	Level7	Active
WORKS SARKAR GRADE-I	Level1	Active
STENOGRAPHER GRADE-II	Level6	Active
JUNIOR ENGINEER(COMM)	Level6	Active
PRIVATE SECRETARY	Level8	Active
DATA ENTRY OPERATOR GRADE-B	Level7	Active
STENOGRAPHER	Level6	Active
SECTION OFFICER	Level8	Active
JUNIOR STATISTICAL OFFICER	Level6	Active
ASSISTANT ENGINEER(COMM)	Level7	Active
HEAD DRAFTSMAN	Level10	Active
SENIOR COMPUTER	Level10	Active
ASSISTANT EXECUTIVE ENGINEER	Level10	Active
EXTRA ASSISTANT DIRECTOR	Level7	Active
ASSISTANT ENGINEER	Level7	Active
LOWER DIVISION CLERK	Level2	Active
SENIOR DRAFTSMAN	Level10	Active
ASSISTANT SECTION OFFICER	Level6	Active
EXTRA ASSISTANT DIRECTOR(HM)	Level7	Active
JUNIOR COMPUTER	Level6	Active
SUPERINTENDING ENGINEER	Level13	Active
ASSISTANT	Level6	Active
STENOGRAPHER GRADE-I	Level6	Active
CHIEF ENGINEER	Level14	Active
ASSISTANT RESEARCH OFFICER	Level7	Active
PRINCIPAL PRIVATE SECRETARY	Level11	Active
DEPUTY DIRECTOR	Level11	Active
ASSISTANT DIRECTOR	Level10	Active
ASSISTANT DIRECTOR GRADE II	Level7	Active
SUB DIVISIONAL ENGINEER	Level7	Active
SENIOR RESEARCH ASSISTANT	Level6	Active
ASSISTANT ACCOUNTS OFFICER	Level8	Active
EXECUTIVE ENGINEER	Level11	Active
UPPER DIVISION CLERK	Level4	Active
SKILLED WORK ASSISTANT	Level1	Active
JUNIOR ENGINEER	Level6	Active
MULTI TASKING STAFF	Level1	Active
