Office	SuperiorOffice	OfficeType	City	RegionType	Status
UT & SS	Central Water Commission(HQ)				Inactive
Narmada Hydromechanical Design Directorate			New Delhi	Headquarter	Inactive
Dte- CADWM	Org-PMO	Directorate	New Delhi	Headquarter	Active
Div-R&D	Org-DSO	Division	New Delhi	Headquarter	Active
SD-PSD KADAPA	Div-HYD Chennai	Sub Div	YSR KADAPA	Regional	Active
CWMA	HRM	Directorate	New Delhi	Headquarter	Active
Dte-SWRM III	Org-SWRMO	Directorate	New Delhi	Headquarter	Active
Dte-SWRM II	Org-SWRMO	Directorate	New Delhi	Headquarter	Active
Dte-SWRM I	Org-SWRMO	Directorate	New Delhi	Headquarter	Active
Div-BID Bhutan	Cir-IC Gangtok	Division	Gangtok	Regional	Active
Div-DVRRC	Cir-HOC Maithon	Division	Dhanbad	Regional	Active
SD-MSD	Div-LKD Hyderabad	Sub Div	Hyderabad	Regional	Active
SD-ISD Leh	Div- CD Jammu	Sub Div	Leh Ladakh	Regional	Active
SD-NSD 3 Jammu	Div- CD Jammu	Sub Div	Jammu	Regional	Active
Dte-M&A Srinagar	Org-IBO Chandigarh	Directorate	Srinagar	Regional	Active
Dte-FM	Org-FMO	Directorate	New Delhi	Headquarter	Active
SD-MNSD Barpeta	Div-MBD Guwahati	Sub Div	Barpeta	Regional	Active
SD-MBSD Guwahati	Div-MBD Guwahati	Sub Div	Kamrup Metro	Regional	Active
SD-KPSD Guwahati	Div-MBD Guwahati	Sub Div	Kamrup Metro	Regional	Active
Org-Design(SE&W)	MEMBER(D&R)	Org	New Delhi	Headquarter	Active
Estt-Pension Monitoring Cell	Dte-Estt 1	Estt	New Delhi	Headquarter	Active
Dte-M&A Vadodara	Org-MTBO Gandhinagar	Directorate	Vadodara	Regional	Active
Dte-BED Kochi	Org-CSRO Coimbatore	Directorate	Ernakulam	Regional	Active
SD-UUIPU	Div-NEID I Silchar	Sub Div	Cachar	Regional	Active
SD-SIPU Silchar	Div-NEID I Silchar	Sub Div	Cachar	Regional	Active
SD-RIPU Silchar	Div-NEID I Silchar	Sub Div	Cachar	Regional	Active
SD-SDE(HQ) Itanagar	Div-NEID III Itanagar	Sub Div	Papum Pare	Regional	Active
SD-DKSD Nagaon	Div-UBD Dibrugarh	Sub Div	Nagaon	Regional	Active
Cir-HOC Noida	Org-YBO New Delhi	Circle	Gautam Buddha Nagar	Regional	Active
Dte-NBC New Delhi	Org-YBO New Delhi	Directorate	New Delhi	Headquarter	Active
Dte-M&A Jaipur	Org-YBO New Delhi	Directorate	Jaipur	Regional	Active
SD-PISD Faridabad	Div-P&I Faridabad	Sub Div	Faridabad	Regional	Active
Dte-M&A Kolkata	Org-TBDBO Kolkata	Directorate	Kolkata	Regional	Active
Dte-MON Gandhinagar	Org-MTBO Gandhinagar	Directorate	Gandhinagar	Regional	Active
SD-CRSD Kolkata	Div-DD Asansol	Sub Div	Kolkata	Regional	Active
Dte-App Gandhinagar	Org-MTBO Gandhinagar	Directorate	Gandhinagar	Regional	Active
SD-BJSD Krishna Nagar	Div-LGD 3 Berhampore	Sub Div	Nadia	Regional	Active
Dte-M&A Raipur	Org-NBO Bhopal	Directorate	Raipur	Regional	Active
Dte-M&A Bhopal	Org-NBO Bhopal	Directorate	Bhopal	Regional	Active
Dte-MON Bengaluru	Org-MSO Bengaluru	Directorate	Bengaluru Urban	Regional	Active
Dte-APP Bengaluru	Org-MSO Bengaluru	Directorate	Bengaluru Urban	Regional	Active
Dte-M&A Pune	Org-MCO Nagpur	Directorate	Pune	Regional	Active
Dte-MON Nagpur	Org-MCO Nagpur	Directorate	Nagpur	Regional	Active
Div- CD Jammu	Dte-M&A Jammu	Division	Jammu	Regional	Active
Dte-M&A Faridabad	Org-IBO Chandigarh	Directorate	Faridabad	Regional	Active
SD-MSSD Dehri	Div-LGD 2 Patna	Sub Div	Rohtas	Regional	Active
SD-MGUKSD Munger	Div-LGD 2 Patna	Sub Div	Munger	Regional	Active
